artist_name;formed_year;country
Radiohead;1991;United Kingdom
Arcade Fire;2003;Canada
Vetusta Morla;1998;Spain
The Cure;1977;United Kingdom
David Bowie;1969;United Kingdom
Queen;1971;United Kingdom
Franz Ferdinand;2001;United Kingdom
Coldplay;1996;United Kingdom
Metallica;1981;United States of America
Ed Sheeran;2010;United Kingdom
Iron Maiden;1975;United Kingdom
Ac/Dc;1973;Australia
Extremoduro;1987;Spain
Bruno Mars;2005;United States of America
Hans Zimmer;1977;Germany
The Weeknd;2010;Canada
Estopa;1999;Spain
Marea;1997;Spain
La Oreja De Van Gogh;1996;Spain
Linkin Park;1995;United States of America
Adele;2006;United Kingdom
Imagine Dragons;2008;United States of America
Bruce Springsteen;1969;United States of America
Billie Eilish;2015;United States of America
Bad Religion;1979;United States of America
Guns N' Roses;1985;United States of America
Maroon 5;2002;United States of America
Joan Manuel Serrat;1965;Spain
System Of A Down;1994;United States of America
Nirvana;1988;United States of America
Paco De Lucía;1965;Spain
Måneskin;2016;Italy
The Offspring;1984;United States of America
Evanescence;1995;United States of America
Slipknot;1995;United States of America
Green Day;1987;United States of America
Camela;1987;Unknown
Megadeth;1983;United States of America
Drake;2009;Canada
Aerosmith;1970;United States of America
Black Sabbath;1969;United Kingdom
Duki;;Argentina
Izal;2010;Spain
The Killers;2001;United States of America
The Corrs;1990;Ireland
Frank Sinatra;1935;United States of America
Morat;2015;Colombia
Red Hot Chili Peppers;1983;United States of America
U2;1976;Ireland
Robbie Williams;1990;United Kingdom
Ludovico Einaudi;1980;Italy
Louis Armstrong;;United States of America
Macaco;1997;Spain
Texas;1986;United Kingdom
Daft Punk;1992;France
Phil Collins;1968;United Kingdom
Onerepublic;2002;United States of America
Sia;1993;Australia
Txarango;2006;Spain
Shigeru Umebayashi;1951;Japan
Melendi;2001;Spain
Lorde;2012;New Zealand
Dio;1982;United States of America
Ennio Morricone;1946;Italy
